Target relationship: patient_chronotype -> cluster
Model Formula: Formula(cluster ~ age + patient_chronotype + sex + sri + (1|id))

                        mean     sd  hdi_3%  hdi_97%  mcse_mean  mcse_sd   ess_bulk  ess_tail  r_hat
1|id[1, 235]           0.078  0.699  -1.231    1.372      0.005    0.010  17406.532  5869.128  1.002
1|id[1, 236]          -0.048  0.689  -1.376    1.213      0.005    0.009  15947.647  4719.476  1.001
1|id[1, 240]          -0.482  0.605  -1.623    0.642      0.004    0.008  18311.105  5571.339  1.000
1|id[1, 256]           0.768  0.569  -0.308    1.831      0.005    0.007  14011.213  4738.149  1.002
1|id[1, 281]          -0.027  0.626  -1.206    1.146      0.005    0.008  17423.227  5339.460  1.001
1|id[1, 296]           0.033  0.678  -1.253    1.289      0.005    0.010  16912.095  5320.433  1.001
1|id[1, 304]          -0.635  0.668  -1.909    0.577      0.005    0.009  16590.980  5427.180  1.000
1|id[1, 305]          -0.530  0.596  -1.658    0.576      0.005    0.008  16879.157  5775.996  1.000
1|id[1, 307]           1.360  0.599   0.294    2.572      0.005    0.008  16116.064  5581.769  1.005
1|id[1, 309]           0.325  0.639  -0.878    1.491      0.005    0.008  17095.350  5458.907  1.000
1|id[1, 310]           0.551  0.648  -0.613    1.821      0.005    0.008  17365.266  5949.584  1.000
1|id[1, 311]          -0.934  0.618  -2.067    0.248      0.005    0.008  14848.277  6011.002  1.000
1|id[1, 312]          -0.558  0.680  -1.880    0.707      0.005    0.009  17072.165  5285.617  1.000
1|id[1, 314]           0.309  0.625  -0.849    1.496      0.004    0.008  20306.189  5606.761  1.000
1|id[1, 316]           0.492  0.601  -0.615    1.617      0.004    0.008  19575.049  6193.397  1.001
1|id[1, 320]          -0.195  0.745  -1.547    1.234      0.006    0.010  17343.303  5103.578  1.001
1|id[1, 325]          -0.413  0.713  -1.783    0.893      0.005    0.010  21536.830  5712.195  1.001
1|id[1, 355]           0.641  0.606  -0.510    1.780      0.005    0.009  15890.825  5455.799  1.001
1|id[1, 358]           0.070  0.690  -1.190    1.440      0.006    0.009  15496.463  5170.476  1.000
1|id[1, 359]           0.382  0.748  -1.099    1.728      0.005    0.010  20523.333  5092.250  1.000
1|id[1, 360]          -0.350  0.631  -1.519    0.830      0.005    0.008  16393.650  5960.033  1.000
1|id[1, 361]          -0.403  0.616  -1.576    0.736      0.005    0.008  16158.452  5853.995  1.000
1|id[1, 362]          -0.502  0.607  -1.701    0.576      0.005    0.009  14506.589  5619.893  1.001
1|id[1, 374]          -0.527  0.611  -1.680    0.636      0.004    0.008  18701.373  5714.533  1.000
1|id[1, 377]          -0.532  0.622  -1.697    0.633      0.005    0.009  17243.398  4762.053  1.000
1|id[1, 378]           0.003  0.616  -1.168    1.128      0.005    0.008  17952.926  6251.687  1.000
1|id[1, 380]          -0.466  0.606  -1.630    0.655      0.005    0.008  15155.094  5403.315  1.001
1|id[1, 381]          -1.028  0.614  -2.248    0.063      0.005    0.008  15588.972  5587.005  1.001
1|id[1, 382]          -0.537  0.670  -1.818    0.686      0.005    0.008  16339.711  5759.340  1.001
1|id[1, 383]           0.224  0.596  -0.956    1.277      0.005    0.007  16341.887  5798.171  1.001
1|id[1, 385]           0.496  0.621  -0.744    1.579      0.005    0.008  15988.868  5636.114  1.001
1|id[1, 386]          -0.540  0.601  -1.684    0.551      0.005    0.008  16802.737  5751.231  1.000
1|id[1, 387]           0.622  0.590  -0.466    1.733      0.005    0.007  14815.144  5976.997  1.000
1|id[1, 389]          -0.726  0.653  -2.021    0.437      0.005    0.009  15125.632  5230.666  1.000
1|id[1, 391]          -0.374  0.625  -1.575    0.769      0.005    0.008  14804.398  5084.701  1.001
1|id[1, 392]           0.099  0.566  -0.950    1.166      0.004    0.007  18202.854  5742.317  1.001
1|id[1, 393]          -0.103  0.644  -1.282    1.114      0.005    0.009  16809.815  5507.650  1.000
1|id[1, 395]           0.002  0.676  -1.280    1.236      0.005    0.009  16960.750  5554.667  1.001
1|id[1, 396]           0.219  0.643  -0.949    1.479      0.005    0.008  17817.995  5689.888  1.000
1|id[1, 397]           0.153  0.580  -0.950    1.222      0.005    0.008  15142.366  5510.484  1.002
1|id[1, 398]           0.299  0.564  -0.724    1.377      0.004    0.008  17274.657  5235.121  1.001
1|id[1, 406]          -0.706  0.666  -1.942    0.538      0.005    0.009  16976.717  5845.051  1.001
1|id[1, 407]           0.347  0.604  -0.750    1.529      0.005    0.008  15979.761  4930.517  1.001
1|id[1, 421]           0.309  0.587  -0.749    1.451      0.004    0.008  18090.049  5384.082  1.002
1|id[1, 422]           0.018  0.566  -1.067    1.072      0.005    0.007  15412.280  6091.359  1.001
1|id[1, 423]          -0.303  0.720  -1.656    1.015      0.006    0.010  15211.487  5495.008  1.001
1|id[1, 429]          -0.856  0.628  -2.004    0.352      0.005    0.008  16622.846  5462.373  1.001
1|id[1, 431]          -0.192  0.655  -1.464    0.965      0.006    0.008  14143.288  5835.109  1.001
1|id[1, 432]           0.651  0.640  -0.534    1.885      0.005    0.009  14799.441  5783.341  1.001
1|id[1, 433]          -0.607  0.678  -1.817    0.731      0.005    0.008  18720.635  5844.816  1.000
1|id[1, 434]          -0.288  0.642  -1.522    0.880      0.005    0.008  16504.303  6177.936  1.000
1|id[1, 435]          -0.472  0.686  -1.738    0.833      0.005    0.009  17618.524  5379.907  1.001
1|id[1, 436]           0.530  0.625  -0.622    1.690      0.005    0.008  15796.823  5751.009  1.001
1|id[1, 437]          -0.748  0.651  -1.971    0.460      0.005    0.008  18108.696  5625.532  1.001
1|id[1, 438]          -0.498  0.680  -1.877    0.741      0.005    0.010  19109.551  5091.843  1.001
1|id[1, 439]          -0.660  0.666  -1.894    0.606      0.006    0.008  13802.640  6245.046  1.000
1|id[1, 440]          -0.509  0.698  -1.870    0.765      0.005    0.009  16515.610  5138.437  1.000
1|id[1, 441]           0.404  0.630  -0.793    1.548      0.005    0.008  15000.246  6248.044  1.001
1|id[1, 442]          -0.124  0.654  -1.299    1.151      0.005    0.009  18122.657  5469.027  1.000
1|id[1, 443]          -0.235  0.653  -1.491    0.948      0.005    0.009  15835.880  5473.112  1.001
1|id[1, 444]          -0.325  0.651  -1.506    0.919      0.005    0.008  16374.953  5958.022  1.000
1|id[1, 445]           0.075  0.616  -1.062    1.236      0.005    0.008  16101.531  5518.262  1.000
1|id[1, 451]           0.744  0.613  -0.395    1.907      0.005    0.008  17880.753  5662.704  1.001
1|id[1, 466]          -0.099  0.579  -1.234    0.941      0.005    0.008  15263.576  5217.455  1.003
1|id[1, 483]          -0.313  0.745  -1.680    1.115      0.006    0.011  15957.425  5641.017  1.001
1|id[1, 484]           0.153  0.628  -1.016    1.324      0.005    0.008  16784.232  5915.693  1.001
1|id[1, 485]           0.005  0.611  -1.141    1.158      0.004    0.008  18468.796  5170.638  1.000
1|id[1, 502]          -0.690  0.605  -1.826    0.458      0.004    0.008  20190.694  5706.849  1.000
1|id[1, 503]           0.031  0.612  -1.098    1.206      0.005    0.008  15770.726  6175.173  1.001
1|id[1, 505]          -0.808  0.628  -1.989    0.357      0.005    0.009  16131.321  5349.888  1.000
1|id[1, 507]           0.538  0.602  -0.592    1.684      0.005    0.008  17403.915  5346.825  1.000
1|id[1, 508]          -0.268  0.640  -1.464    0.939      0.005    0.008  17701.696  5780.569  1.000
1|id[1, 510]          -0.146  0.745  -1.533    1.248      0.006    0.010  15805.459  5148.015  1.001
1|id[1, 511]           0.301  0.600  -0.811    1.440      0.005    0.007  14944.020  5977.892  1.000
1|id[1, 512]           0.537  0.649  -0.692    1.729      0.005    0.009  18158.916  5884.668  1.001
1|id[1, 513]          -0.829  0.624  -1.983    0.354      0.005    0.008  16109.024  5340.560  1.000
1|id[1, 514]          -0.132  0.600  -1.237    0.996      0.005    0.007  16385.773  6280.056  1.000
1|id[1, 519]          -0.778  0.608  -1.890    0.399      0.004    0.008  19115.452  5984.709  1.001
1|id[1, 520]           0.042  0.606  -1.044    1.195      0.005    0.008  15609.629  5535.590  1.000
1|id[1, 521]          -0.467  0.612  -1.621    0.672      0.005    0.008  16173.618  5381.535  1.000
1|id[1, 524]          -0.221  0.657  -1.462    1.007      0.005    0.008  15511.307  6061.923  1.000
1|id[1, 583]          -0.780  0.634  -2.016    0.386      0.005    0.008  16936.313  5722.809  1.000
1|id[1, 585]           0.527  0.571  -0.555    1.573      0.005    0.008  15775.271  6021.652  1.001
1|id[1, 588]           0.677  0.579  -0.397    1.792      0.005    0.007  14871.085  5690.460  1.000
1|id[1, 601]          -0.924  0.615  -2.076    0.181      0.005    0.008  14246.781  5883.388  1.000
1|id[1, 602]           0.484  0.576  -0.609    1.573      0.005    0.007  15928.077  5821.729  1.001
1|id[1, 610]          -0.744  0.577  -1.790    0.375      0.005    0.008  16119.376  5655.032  1.001
1|id[1, 611]          -0.332  0.621  -1.477    0.832      0.005    0.007  16728.775  6153.432  1.000
1|id[1, 612]          -0.301  0.589  -1.435    0.795      0.005    0.008  16578.875  5623.869  1.000
1|id[1, 615]           0.163  0.718  -1.175    1.520      0.006    0.010  16596.311  5624.128  1.001
1|id[1, 619]          -0.238  0.583  -1.318    0.843      0.005    0.007  16104.181  6379.323  1.000
1|id[1, 623]           0.188  0.568  -0.869    1.289      0.004    0.007  17745.270  6338.069  1.001
1|id[1, 626]           0.858  0.587  -0.233    1.974      0.005    0.008  17243.183  5577.475  1.000
1|id[1, 628]          -0.288  0.721  -1.646    1.065      0.006    0.010  16795.434  5546.267  1.000
1|id[1, 629]          -0.596  0.655  -1.789    0.650      0.005    0.009  17142.176  5722.567  1.000
1|id[1, 630]           0.300  0.620  -0.873    1.455      0.005    0.009  16318.287  5737.510  1.000
1|id[1, 631]          -0.301  0.634  -1.432    0.907      0.005    0.008  17354.388  5586.426  1.000
1|id[1, 632]          -0.287  0.729  -1.702    1.063      0.006    0.011  16099.327  5577.774  1.002
1|id[1, 636]           0.202  0.570  -0.868    1.271      0.005    0.007  15779.747  6162.289  1.001
1|id[1, 637]           0.296  0.583  -0.822    1.374      0.005    0.008  15213.490  5621.407  1.001
1|id[1, 640]           0.801  0.569  -0.272    1.845      0.005    0.007  13718.475  6029.727  1.001
1|id[1, 649]          -0.429  0.629  -1.551    0.800      0.005    0.008  17916.037  5704.242  1.000
1|id[1, 650]          -0.154  0.563  -1.204    0.910      0.004    0.007  16990.441  6094.548  1.000
1|id[1, 651]           0.436  0.618  -0.780    1.543      0.005    0.008  16638.868  6264.855  1.000
1|id[1, 652]          -0.669  0.594  -1.816    0.404      0.005    0.008  15708.219  5613.081  1.001
1|id[1, 654]           0.147  0.592  -0.922    1.297      0.004    0.008  17816.026  5607.348  1.002
1|id[1, 660]          -0.802  0.646  -2.048    0.393      0.005    0.009  18664.418  5963.146  1.002
1|id[1, 661]           0.019  0.613  -1.168    1.142      0.005    0.008  16534.454  5788.599  1.000
1|id[1, 663]           0.555  0.569  -0.474    1.659      0.004    0.008  17090.296  5525.328  1.001
1|id[1, 666]          -0.427  0.686  -1.778    0.787      0.006    0.009  15080.321  5424.312  1.000
1|id[1, 671]          -1.020  0.613  -2.170    0.142      0.005    0.008  16912.554  5247.619  1.001
1|id[1, 672]          -0.555  0.591  -1.657    0.557      0.005    0.008  14805.049  5355.672  1.003
1|id[1, 673]          -0.045  0.593  -1.157    1.048      0.004    0.009  17904.895  5709.840  1.000
1|id[1, 674]          -0.207  0.509  -1.172    0.746      0.004    0.006  14552.339  5605.709  1.000
1|id[1, 675]          -0.838  0.638  -2.079    0.333      0.005    0.009  17632.265  5173.446  1.000
1|id[1, 676]          -0.023  0.616  -1.136    1.152      0.005    0.008  16384.936  5455.503  1.001
1|id[1, 677]           0.143  0.627  -1.031    1.318      0.005    0.008  16017.372  5691.927  1.001
1|id[1, 683]          -0.585  0.675  -1.890    0.663      0.005    0.010  17311.214  5626.778  1.001
1|id[1, 684]           0.050  0.635  -1.110    1.260      0.005    0.009  16953.698  5440.737  1.000
1|id[1, 686]          -0.888  0.625  -2.100    0.259      0.005    0.008  16392.249  5894.651  1.001
1|id[1, 687]          -0.809  0.644  -2.051    0.337      0.005    0.008  16321.216  5792.547  1.001
1|id[1, 690]           0.194  0.615  -0.943    1.372      0.005    0.008  16557.630  6414.028  1.001
1|id[1, 695]          -0.166  0.614  -1.276    1.020      0.005    0.008  16951.090  6090.533  1.001
1|id[1, 696]           0.638  0.645  -0.592    1.802      0.005    0.009  19609.273  5419.885  1.000
1|id[1, 697]          -0.259  0.639  -1.431    0.956      0.005    0.008  16944.813  6013.142  1.000
1|id[1, 704]           0.123  0.568  -0.991    1.156      0.004    0.007  17350.234  5724.960  1.000
1|id[1, 705]           0.226  0.641  -1.022    1.382      0.005    0.008  16550.012  5699.665  1.002
1|id[1, 706]           0.184  0.584  -0.911    1.302      0.004    0.007  17869.325  5647.685  1.000
1|id[1, 707]          -0.423  0.613  -1.529    0.767      0.005    0.008  17689.807  5936.288  1.000
1|id[1, 708]           0.592  0.560  -0.482    1.618      0.004    0.007  17804.444  5675.429  1.001
1|id[1, 709]           0.384  0.746  -0.987    1.809      0.006    0.010  16245.100  5710.789  1.000
1|id[1, 710]           0.158  0.583  -0.972    1.218      0.004    0.008  18767.350  5162.973  1.000
1|id[1, 713]          -0.377  0.538  -1.352    0.654      0.004    0.006  14713.438  6161.564  1.001
1|id[1, 715]          -0.006  0.603  -1.125    1.163      0.005    0.007  15990.020  5732.109  1.000
1|id[1, 716]          -0.769  0.654  -1.941    0.522      0.005    0.008  17381.110  5743.400  1.000
1|id[1, 717]          -0.350  0.589  -1.423    0.813      0.005    0.008  14746.723  5643.002  1.000
1|id[1, 718]           0.569  0.603  -0.522    1.710      0.005    0.008  16403.789  6090.789  1.002
1|id[1, 719]           0.362  0.615  -0.737    1.583      0.005    0.008  16652.234  6024.999  1.001
1|id[1, 722]          -0.093  0.657  -1.316    1.121      0.005    0.009  16345.412  5035.865  1.000
1|id[1, 723]           0.829  0.579  -0.306    1.866      0.005    0.007  14999.934  5794.298  1.000
1|id[1, 725]          -0.383  0.718  -1.741    0.961      0.005    0.009  18102.586  5465.392  1.001
1|id[1, 727]          -0.681  0.657  -1.926    0.526      0.005    0.009  15984.794  5999.424  1.001
1|id[1, 730]           0.416  0.568  -0.600    1.520      0.004    0.007  17837.409  5791.235  1.000
1|id[1, 732]           0.124  0.624  -1.025    1.302      0.005    0.009  18398.637  5454.898  1.002
1|id[1, 733]           0.537  0.575  -0.539    1.660      0.004    0.007  16334.195  6070.550  1.001
1|id[1, 741]          -0.954  0.639  -2.181    0.249      0.005    0.008  13878.824  5756.677  1.000
1|id[1, 743]          -1.111  0.587  -2.191    0.040      0.005    0.007  16300.282  5665.149  1.001
1|id[1, 744]           0.210  0.650  -0.981    1.496      0.005    0.009  16696.825  4973.691  1.000
1|id[1, 745]           0.251  0.599  -0.914    1.338      0.004    0.007  21453.986  5931.131  1.000
1|id[1, 756]          -0.064  0.620  -1.238    1.094      0.005    0.008  16850.692  5568.448  1.000
1|id[1, 757]          -0.109  0.545  -1.129    0.922      0.004    0.007  18313.859  6201.984  1.001
1|id[1, 783]          -0.736  0.643  -1.937    0.477      0.005    0.009  17515.328  5125.183  1.002
1|id[1, 797]          -0.154  0.615  -1.331    0.968      0.005    0.008  16663.896  5581.423  1.001
1|id[1, 803]          -0.437  0.574  -1.543    0.595      0.004    0.008  16944.918  5380.351  1.001
1|id[1, 806]          -0.792  0.592  -1.896    0.348      0.005    0.008  15669.156  4525.464  1.001
1|id[1, 807]           0.610  0.596  -0.516    1.748      0.005    0.007  15634.982  6571.103  1.001
1|id[1, 808]           0.614  0.594  -0.508    1.720      0.004    0.007  17491.913  6117.444  1.000
1|id[1, 810]          -0.352  0.633  -1.564    0.777      0.005    0.009  17272.349  5712.568  1.002
1|id[1, 815]           0.347  0.568  -0.709    1.418      0.004    0.008  15959.270  5422.403  1.000
1|id[1, 842]           0.199  0.548  -0.880    1.183      0.004    0.007  15507.755  5712.430  1.000
1|id[1, 843]           0.383  0.578  -0.641    1.548      0.004    0.008  18436.513  5761.090  1.000
1|id[1, 845]          -0.375  0.635  -1.632    0.760      0.005    0.008  16296.597  6091.009  1.000
1|id[1, 858]          -0.296  0.638  -1.516    0.871      0.005    0.008  17508.891  6131.699  1.001
1|id[1, 859]           0.124  0.635  -1.087    1.274      0.005    0.009  18519.857  5489.103  1.001
1|id[1, 860]           0.253  0.617  -0.922    1.408      0.005    0.008  16209.407  5294.904  1.001
1|id[1, 861]           0.131  0.717  -1.256    1.442      0.005    0.011  20759.886  4996.358  1.000
1|id[1, 862]          -0.112  0.614  -1.261    1.046      0.005    0.008  16955.805  5749.063  1.000
1|id[1, 863]          -0.751  0.638  -1.937    0.450      0.005    0.008  18994.490  5875.154  1.001
1|id[1, 864]          -0.085  0.581  -1.151    1.034      0.004    0.007  19656.032  6019.093  1.000
1|id[1, 865]          -0.013  0.563  -1.069    1.061      0.005    0.007  15558.806  5679.034  1.002
1|id[1, 866]           0.001  0.586  -1.093    1.093      0.005    0.007  15582.070  5553.804  1.002
1|id[1, 867]           0.418  0.561  -0.584    1.504      0.004    0.007  17998.513  5777.345  1.001
1|id[1, 868]           0.093  0.533  -0.876    1.127      0.004    0.007  14045.268  5484.804  1.001
1|id[1, 870]          -0.087  0.595  -1.223    1.015      0.004    0.007  17995.589  5943.354  1.001
1|id[1, 899]          -0.341  0.614  -1.567    0.762      0.005    0.009  15752.818  4751.972  1.001
1|id[1, 903]          -0.605  0.666  -1.860    0.645      0.005    0.009  18143.526  5670.564  1.001
1|id[1, 905]           0.483  0.564  -0.579    1.529      0.004    0.008  18036.525  5944.390  1.000
1|id[1, 906]          -0.822  0.637  -2.087    0.301      0.005    0.009  17404.482  5409.868  1.000
1|id[1, 908]           0.058  0.605  -1.163    1.132      0.005    0.008  16777.342  5880.535  1.001
1|id[1, 910]           0.040  0.680  -1.230    1.322      0.005    0.009  16991.565  5485.807  1.001
1|id[1, 920]           0.021  0.621  -1.137    1.160      0.005    0.009  18247.845  5560.111  1.001
1|id[1, 921]           0.166  0.591  -0.904    1.297      0.005    0.007  13949.078  5963.074  1.000
1|id[1, 922]          -0.027  0.613  -1.153    1.153      0.005    0.008  16462.801  5421.815  1.001
1|id[1, 923]          -0.612  0.675  -1.834    0.699      0.005    0.009  16871.853  6084.983  1.002
1|id[1, 932]           0.178  0.628  -1.010    1.341      0.005    0.008  16349.464  5537.216  1.001
1|id[1, 933]          -0.170  0.591  -1.315    0.890      0.005    0.008  16602.172  5660.412  1.001
1|id[1, 934]          -0.699  0.646  -1.895    0.527      0.005    0.008  15732.341  5849.315  1.003
1|id[1, 935]           0.790  0.607  -0.398    1.890      0.005    0.008  16410.237  5789.649  1.000
1|id[1, 936]          -0.384  0.705  -1.706    0.920      0.005    0.010  19034.862  5245.585  1.001
1|id[1, 937]           0.050  0.698  -1.273    1.360      0.005    0.009  16525.017  5337.519  1.000
1|id[1, 938]           0.505  0.584  -0.616    1.577      0.005    0.007  15300.813  6122.790  1.001
1|id[1, 939]          -0.062  0.685  -1.398    1.187      0.005    0.009  17221.946  5914.983  1.000
1|id[1, 940]           0.651  0.577  -0.431    1.763      0.004    0.007  16560.683  6289.217  1.000
1|id[1, 941]          -0.647  0.653  -1.889    0.583      0.005    0.009  14729.344  5844.307  1.001
1|id[1, 942]          -0.332  0.584  -1.413    0.814      0.005    0.008  15195.128  5549.682  1.001
1|id[1, 944]          -0.163  0.579  -1.174    0.973      0.004    0.008  18870.017  5648.892  1.001
1|id[1, 945]           0.039  0.619  -1.155    1.194      0.005    0.008  19011.483  5676.618  1.000
1|id[1, 946]          -0.673  0.603  -1.785    0.450      0.005    0.007  16540.345  5781.332  1.001
1|id[1, 947]           0.904  0.603  -0.203    2.084      0.005    0.007  16896.850  6277.004  1.000
1|id[1, 948]           0.155  0.602  -1.002    1.279      0.005    0.008  17482.086  5900.343  1.000
1|id[1, 949]          -0.290  0.612  -1.454    0.835      0.004    0.008  19614.501  5650.325  1.000
1|id[1, 953]          -0.241  0.649  -1.444    0.991      0.005    0.009  18101.837  5635.504  1.001
1|id[1, 958]          -0.235  0.604  -1.423    0.854      0.005    0.007  17442.348  6162.247  1.002
1|id[1, 959]          -0.078  0.584  -1.248    0.969      0.004    0.008  17814.932  5820.379  1.000
1|id[1, 961]          -0.680  0.667  -1.933    0.566      0.005    0.009  16373.459  5575.619  1.000
1|id[1, 965]           0.785  0.633  -0.384    1.990      0.005    0.009  17109.514  5516.978  1.000
1|id[1, 966]           0.126  0.567  -0.962    1.173      0.004    0.007  16856.903  5919.738  1.001
1|id[1, 967]           0.530  0.656  -0.747    1.699      0.005    0.009  17039.673  5878.015  1.001
1|id[1, 968]          -0.354  0.643  -1.561    0.848      0.005    0.008  18239.876  5346.329  1.000
1|id[1, 970]           0.379  0.589  -0.702    1.506      0.004    0.008  17888.880  5881.222  1.000
1|id[1, 971]           0.156  0.569  -0.886    1.235      0.004    0.008  18597.212  5721.697  1.001
1|id[1, 973]           0.056  0.616  -1.120    1.183      0.005    0.007  12591.164  6251.399  1.000
1|id[1, 977]          -0.162  0.529  -1.140    0.835      0.004    0.007  18999.641  6042.898  1.001
1|id[1, 980]          -0.047  0.607  -1.193    1.088      0.004    0.009  19876.367  5654.887  1.001
1|id[1, 981]           0.719  0.592  -0.391    1.800      0.005    0.008  17135.360  6423.640  1.001
1|id[1, 989]          -0.653  0.633  -1.786    0.572      0.005    0.008  15719.313  6145.227  1.001
